id,condition,tr_nr,rd,ed,rt,control,delta_tap_ems,delta_idle_ems
13,ems_bci,1,200,20,1.63938861846992,ems,0.6,-3.9
13,ems_bci,2,500,100,3.25387984937562,ems,1.3,-5.7
13,ems_bci,3,500,30,3.04931363488981,ems,0.2,-5.8
13,ems_bci,4,350,20,3.82902575649101,muscle,NaN,NaN
13,ems_bci,5,200,50,8.57489976525404,ems,0.2,-12.8
13,ems_bci,6,350,30,5.1211071510129,muscle,NaN,NaN
13,ems_bci,7,200,30,2.99217581507032,ems,0.1,-6.5
13,ems_bci,8,500,20,4.50171218942947,ems,0.3,-8.4
13,ems_bci,9,200,20,4.14828419302688,ems,0.2,-7.8
13,ems_bci,10,200,30,3.11227294088807,ems,0.3,-5.8
13,ems_bci,11,350,30,1.17223873636969,ems,0.2,-4.2
13,ems_bci,12,200,10,5.26997904325428,muscle,NaN,NaN
13,ems_bci,13,350,20,1.19964322908377,ems,0.3,-3.5
13,ems_bci,14,350,40,3.93399843775651,ems,0.4,-7.7
13,ems_bci,15,200,20,5.45154876577265,muscle,NaN,NaN
13,ems_bci,16,500,10,3.2921365400597,ems,0.2,-6.7
13,ems_bci,17,500,20,1.17975202116202,ems,0.2,-3.9
13,ems_bci,18,200,30,1.26407097938603,ems,0.3,-4
13,ems_bci,19,350,20,2.49436090783539,ems,0.3,-5.8
13,ems_bci,20,500,30,4.17837792340075,muscle,NaN,NaN
13,ems_bci,21,350,50,2.92354355258239,ems,0.3,-5.9
13,ems_bci,22,500,20,2.76410785134629,muscle,NaN,NaN
13,ems_bci,23,500,30,2.97411056167695,ems,0.2,-6.2
13,ems_bci,24,350,40,4.88096265217438,ems,0.1,-8.3
13,ems_bci,25,500,30,4.83041777033057,ems,0.2,-8
13,ems_bci,26,350,20,1.83280143567465,ems,0.3,-4.5
13,ems_bci,27,500,20,5.96131272563267,muscle,NaN,NaN
13,ems_bci,28,500,30,3.06115381694881,ems,0.2,-6.7
13,ems_bci,29,350,20,4.77385078584504,ems,0.3,-8.6
13,ems_bci,30,500,40,1.32746874596387,ems,0.4,-4.3
13,ems_bci,31,350,40,2.00116464691805,ems,0.2,-5.6
13,ems_bci,32,500,50,2.15540138707729,ems,0.2,-5.8
13,ems_bci,33,200,30,3.23122240773086,ems,0.2,-6.6
13,ems_bci,34,350,40,3.16733966076868,ems,0.2,-7
13,ems_bci,35,500,30,2.67107204370638,ems,0,-5.7
13,ems_bci,36,200,10,3.1510824199503,muscle,NaN,NaN
13,ems_bci,37,200,30,1.39763372559654,ems,0.1,-4.2
13,ems_bci,38,500,20,2.82569086869096,ems,0.2,-6.1
13,ems_bci,39,200,20,2.33328554074195,ems,0.2,-5.6
13,ems_bci,40,500,50,1.99728298178914,ems,0.2,-5.3
13,ems_bci,41,500,40,1.33544693027697,ems,0.1,-4.6
13,ems_bci,42,350,20,5.21144160078179,muscle,NaN,NaN
13,ems_bci,43,350,10,1.20755839855104,ems,0.2,-4.2
13,ems_bci,44,350,20,2.67561732074916,ems,0.2,-5.7
13,ems_bci,45,350,10,1.14703513528179,ems,0.1,-4.4
13,ems_bci,46,200,20,5.55237525602074,muscle,NaN,NaN
13,ems_bci,47,350,20,4.47807395864781,ems,0.2,-8
13,ems_bci,48,500,40,3.4785193792747,muscle,NaN,NaN
13,ems_bci,49,200,10,3.26814202497544,ems,0.3,-6.3
13,ems_bci,50,350,20,1.87609083206299,ems,0.2,-5.3
13,ems_bci,51,350,30,2.24779967095956,ems,0.2,-5.1
13,ems_bci,52,500,10,3.53814882407008,muscle,NaN,NaN
13,ems_bci,53,350,20,1.9014897867991,ems,0.2,-4.6
13,ems_bci,54,350,30,2.05707157056112,ems,0.2,-5.4
13,ems_bci,55,500,20,1.73563466706275,ems,0.1,-5.2
13,ems_bci,56,500,10,4.95112833611528,muscle,NaN,NaN
13,ems_bci,57,200,10,4.86216090757063,muscle,NaN,NaN
13,ems_bci,58,200,10,1.09281137434053,ems,0.1,-4.6
13,ems_bci,59,200,20,2.25340261779088,ems,0.2,-5.8
13,ems_bci,60,350,10,4.97722449256992,muscle,NaN,NaN
13,ems_bci,61,200,10,1.39188722095839,ems,0.2,-4.1
13,ems_bci,62,200,20,3.94710408094184,ems,0.2,-6.9
13,ems_bci,63,200,20,4.19334669290181,muscle,NaN,NaN
13,ems_bci,64,200,10,5.39471655851507,muscle,NaN,NaN
13,ems_bci,65,500,20,3.01904800307572,ems,0.3,-5.8
13,ems_bci,66,350,10,1.18351923272722,ems,0.2,-4.3
13,ems_bci,67,200,20,4.65841019731092,ems,0.2,-8.1
13,ems_bci,68,500,20,1.17715979997388,ems,0.2,-4.4
13,ems_bci,69,200,20,2.83900968700823,ems,0.2,-5.8
13,ems_bci,70,500,10,5.78905587855438,muscle,NaN,NaN
13,ems_bci,71,350,10,4.36350528029137,ems,0.2,-7.5
13,ems_bci,72,500,20,2.7123849979475,ems,0.1,-5.8
13,ems_bci,73,200,10,3.51441449007863,ems,0.6,-6.2
13,ems_bci,74,200,20,2.49543341188248,ems,0.3,-5.2
13,ems_bci,75,350,20,1.37390507890082,ems,0.4,-4.3
