id,cond,tr_nr,rd,ed,rt
3,baseline,1,350,10,1.85847254096801
3,baseline,2,350,200,2.40459916801788
3,baseline,3,350,100,2.18361425487828
3,baseline,4,350,50,2.61298991378945
3,baseline,5,350,50,0.953476429213173
3,baseline,6,200,50,1.76653523401893
3,baseline,7,500,75,1.43956331175737
3,baseline,8,200,50,1.90993259282873
3,baseline,9,350,75,2.10420443373065
3,baseline,10,500,100,1.70510962245816
3,baseline,11,500,75,1.83445308689134
3,baseline,12,500,75,2.75352589744297
3,baseline,13,200,50,3.1427228813189
3,baseline,14,500,100,2.09354881941289
3,baseline,15,500,100,2.36502201222041
3,baseline,16,350,100,3.30977863437177
3,baseline,17,350,100,2.0583082761761
3,baseline,18,350,75,2.56750837383988
3,baseline,19,350,150,1.6835748693029
3,baseline,20,500,200,2.92360583185078
3,baseline,21,200,100,3.00346821544554
3,baseline,22,350,100,1.98050466170999
3,baseline,23,350,100,2.20671205838506
3,baseline,24,200,100,3.34820422844451
3,baseline,25,500,100,2.57217728213651
3,baseline,26,350,200,2.22402852093138
3,baseline,27,350,100,1.95153684604775
3,baseline,28,350,100,2.51332283133023
3,baseline,29,200,150,3.48811418320094
3,baseline,30,350,200,2.80147767585903
3,baseline,31,500,100,2.10328712662786
3,baseline,32,200,50,1.73527455291162
3,baseline,33,350,100,3.68146750558583
3,baseline,34,350,50,2.62371077760553
3,baseline,35,200,100,2.4367976118405
3,baseline,36,200,150,2.59322880228267
3,baseline,37,500,200,2.82272697665992
3,baseline,38,500,150,4.57971913729796
3,baseline,39,500,200,1.99461802839375
3,baseline,40,200,100,2.29379464036003
3,baseline,41,500,100,2.99843519437001
3,baseline,42,350,100,1.87809652359732
3,baseline,43,500,50,2.58221520585439
3,baseline,44,500,50,1.86524306713707
3,baseline,45,200,50,3.06109589708653
3,baseline,46,500,50,2.17536686533053
3,baseline,47,200,50,1.59532926483498
3,baseline,48,200,75,1.13215337198739
3,baseline,49,500,200,1.95631078140083
3,baseline,50,500,200,1.38985357190509
3,baseline,51,500,150,1.17055986973273
3,baseline,52,200,100,2.65788152672999
3,baseline,53,200,100,2.82850322357766
3,baseline,54,200,100,2.39569270544033
3,baseline,55,200,100,1.76223409648639
3,baseline,56,350,100,1.82762449991515
3,baseline,57,350,100,0.815777377529558
3,baseline,58,200,50,1.10151394357193
3,baseline,59,500,100,3.10738274962838
3,baseline,60,350,100,2.24523796644316
3,baseline,61,500,50,1.63978585322725
3,baseline,62,350,50,1.61575443602017
3,baseline,63,500,100,1.86914944603229
3,baseline,64,200,100,1.83751881948356
3,baseline,65,200,100,2.43233410517723
3,baseline,66,200,100,1.99703605738198
3,baseline,67,350,100,2.35579133766708
3,baseline,68,350,150,0.98305835273668
3,baseline,69,500,100,0.94187414654685
3,baseline,70,200,150,2.04658952145143
3,baseline,71,200,100,1.63890783777944
3,baseline,72,200,100,1.52752489683279
3,baseline,73,500,100,1.96015905535173
3,baseline,74,500,100,1.08090613228983
3,baseline,75,200,100,2.02025051220005
